S-23C Google 0 0.29936305732484075 S:25, I:1, D:21
S-23C Kardi 0 0.20382165605095542 S:18, I:7, D:7

S-23C Google 1 0.4387755102040816 S:48, I:1, D:37
S-23C Kardi 1 0.3163265306122449 S:43, I:5, D:14

S-23C Google 2 0.40588235294117647 S:36, I:9, D:24
S-23C Kardi 2 0.3411764705882353 S:26, I:18, D:14

S-23C Google 3 0.568075117370892 S:70, I:1, D:50
S-23C Kardi 3 0.4225352112676056 S:62, I:6, D:22

S-23C Google 4 0.4423076923076923 S:93, I:2, D:112
S-23C Kardi 4 0.25854700854700857 S:78, I:6, D:37

S-23C Google 5 0.3470790378006873 S:36, I:1, D:64
S-23C Kardi 5 0.22336769759450173 S:35, I:4, D:26

S-23C Google 6 0.35 S:3, I:0, D:11
S-23C Kardi 6 0.2 S:6, I:0, D:2

S-23C Google 7 0.32857142857142857 S:16, I:0, D:7
S-23C Kardi 7 0.17142857142857143 S:10, I:0, D:2

S-23C Google 8 0.35714285714285715 S:14, I:1, D:15
S-23C Kardi 8 0.30952380952380953 S:15, I:4, D:7

S-23C Google 9 0.34782608695652173 S:6, I:0, D:2
S-23C Kardi 9 0.30434782608695654 S:5, I:2, D:0

S-23C Google 10 0.6521739130434783 S:13, I:0, D:17
S-23C Kardi 10 0.30434782608695654 S:13, I:0, D:1

S-23C Google 11 0.43356643356643354 S:32, I:1, D:29
S-23C Kardi 11 0.21678321678321677 S:20, I:2, D:9

S-6B Google 0 0.5367647058823529 S:40, I:1, D:32
S-6B Kardi 0 0.4485294117647059 S:39, I:8, D:14

S-6B Google 1 0.4030612244897959 S:45, I:1, D:33
S-6B Kardi 1 0.32142857142857145 S:41, I:11, D:11

S-6B Google 2 0.29642857142857143 S:48, I:1, D:34
S-6B Kardi 2 0.14285714285714285 S:23, I:4, D:13

S-6B Google 3 0.39790575916230364 S:40, I:1, D:35
S-6B Kardi 3 0.24607329842931938 S:26, I:10, D:11

S-6B Google 4 0.25 S:59, I:4, D:40
S-6B Kardi 4 0.1553398058252427 S:37, I:16, D:11

S-6B Google 5 0.26105263157894737 S:63, I:7, D:54
S-6B Kardi 5 0.09473684210526316 S:25, I:9, D:11

S-5A Google 0 0.5023584905660378 S:104, I:1, D:108
S-5A Kardi 0 0.36556603773584906 S:87, I:37, D:31

S-5A Google 1 0.4481132075471698 S:44, I:1, D:50
S-5A Kardi 1 0.29245283018867924 S:32, I:16, D:14

S-5A Google 2 0.42507645259938837 S:136, I:8, D:134
S-5A Kardi 2 0.2889908256880734 S:103, I:33, D:53

S-5A Google 3 0.4198250728862974 S:61, I:1, D:82
S-5A Kardi 3 0.24198250728862974 S:48, I:9, D:26

S-5A Google 4 0.3980891719745223 S:57, I:1, D:67
S-5A Kardi 4 0.21656050955414013 S:37, I:10, D:21

S-5A Google 5 0.45726495726495725 S:114, I:1, D:99
S-5A Kardi 5 0.28846153846153844 S:80, I:17, D:38

S-11C Google 0 0.24598930481283424 S:18, I:2, D:26
S-11C Kardi 0 0.16042780748663102 S:20, I:7, D:3

S-11C Google 1 0.36363636363636365 S:19, I:0, D:33
S-11C Kardi 1 0.23076923076923078 S:16, I:11, D:6

S-11C Google 2 0.2430939226519337 S:55, I:0, D:33
S-11C Kardi 2 0.17679558011049723 S:38, I:10, D:16

S-11C Google 3 0.2506527415143603 S:37, I:0, D:59
S-11C Kardi 3 0.18798955613577023 S:39, I:8, D:25

S-11C Google 4 0.21708185053380782 S:74, I:1, D:47
S-11C Kardi 4 0.09786476868327403 S:30, I:6, D:19

S-11C Google 5 0.21176470588235294 S:57, I:2, D:49
S-11C Kardi 5 0.10588235294117647 S:29, I:8, D:17

S-11C Google 6 0.26570048309178745 S:30, I:1, D:24
S-11C Kardi 6 0.178743961352657 S:19, I:6, D:12

S-11C Google 7 0.24701195219123506 S:36, I:1, D:25
S-11C Kardi 7 0.11952191235059761 S:18, I:2, D:10

S-11C Google 8 0.2549019607843137 S:13, I:1, D:12
S-11C Kardi 8 0.17647058823529413 S:10, I:5, D:3

S-16D Google 0 0.21724137931034482 S:43, I:2, D:18
S-16D Kardi 0 0.21379310344827587 S:38, I:18, D:6

S-16D Google 1 0.18633540372670807 S:45, I:1, D:44
S-16D Kardi 1 0.19047619047619047 S:50, I:22, D:20

S-16D Google 2 0.2116788321167883 S:27, I:2, D:29
S-16D Kardi 2 0.23357664233576642 S:32, I:23, D:9

S-16D Google 3 0.17834394904458598 S:45, I:2, D:37
S-16D Kardi 3 0.1592356687898089 S:35, I:27, D:13

S-16D Google 4 0.19137466307277629 S:37, I:2, D:32
S-16D Kardi 4 0.1752021563342318 S:32, I:23, D:10

S-16D Google 5 0.16104868913857678 S:27, I:1, D:15
S-16D Kardi 5 0.23595505617977527 S:30, I:30, D:3

S-16D Google 6 0.330188679245283 S:15, I:0, D:20
S-16D Kardi 6 0.37735849056603776 S:13, I:19, D:8

S-16D Google 7 0.19148936170212766 S:6, I:1, D:2
S-16D Kardi 7 0.3404255319148936 S:6, I:10, D:0

S-16D Google 8 0.21311475409836064 S:13, I:1, D:12
S-16D Kardi 8 0.19672131147540983 S:6, I:11, D:7

